,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,50.12218375205994,5.653603439671777,6.515555477142334,0.016408466553215196,0.1,balanced,scale,linear,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'linear'}",0.7487162917865706,0.7476046294679457,0.7527492427612088,0.7459801576729366,0.7510105092966854,0.7492121661970694,0.002409186310398486,11
4,49.72620277404785,5.548148472672171,6.507403802871704,0.021348515305478665,0.1,balanced,auto,linear,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'linear'}",0.7487162917865706,0.7476046294679457,0.7527492427612088,0.7459801576729366,0.7510105092966854,0.7492121661970694,0.002409186310398486,11
21,74.25749735832214,5.547459176744949,7.150360631942749,0.01629270829965683,1,balanced,auto,poly,"{'C': 1, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'poly'}",0.7447759589200303,0.7423507366079851,0.745271861916365,0.7446659851258912,0.7448464025869038,0.744382189031435,0.0010362823905088806,13
13,63.901238965988156,5.287985220869032,7.269301223754883,0.010274628519480402,0.5,balanced,auto,poly,"{'C': 0.5, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'poly'}",0.7437651229280782,0.7419462266124983,0.7447669748001973,0.7451718727463131,0.7453516572352465,0.7442003708644667,0.001253867880501972,14
17,67.23490600585937,5.113671581629203,7.202335834503174,0.018746384556356927,1,balanced,scale,poly,"{'C': 1, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'poly'}",0.7442705409240543,0.742148512237923,0.7450699846600237,0.7439590369872946,0.7443411479385611,0.7439578445495714,0.0009752169985993193,15
9,60.8193422794342,5.291063604601063,7.356394529342651,0.02197343048413823,0.5,balanced,scale,poly,"{'C': 0.5, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'poly'}",0.7436636840477805,0.7417439001501654,0.7444642099618208,0.7446670877224162,0.7436337914308813,0.7436345346626128,0.0010324607520028428,16
5,56.86328120231629,4.9796658085555405,7.745135354995727,0.015389690852076659,0.1,balanced,auto,poly,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'poly'}",0.7440658663394922,0.7394181361283638,0.7436578852067972,0.7439617322232446,0.7439369442198869,0.7430081128235569,0.0018000609459012063,17
1,56.5629506111145,5.076609070490916,7.936310482025147,0.01558660693626142,0.1,balanced,scale,poly,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'poly'}",0.7438630294158051,0.7389119626495836,0.7420423771131671,0.742952203012359,0.7429264349232013,0.7421392014228232,0.001713285508287202,18
3,332.3502548694611,299.23619665894,7.248504114151001,0.017735357382316533,0.1,balanced,scale,sigmoid,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'sigmoid'}",0.6680812639774528,0.6631312181339395,0.6714153933582525,0.6626254326057884,0.6675424413904607,0.6665591498931788,0.0032891227368208277,19
11,52.384498262405394,12.353703505793323,6.934294128417969,0.006702556556196315,0.5,balanced,scale,sigmoid,"{'C': 0.5, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'sigmoid'}",0.6661613371506586,0.6620195966522229,0.6704051495014711,0.6612109033565161,0.6649151172190784,0.6649424207759894,0.0032800924026973395,20
19,45.75288724899292,11.196069672234872,6.938017177581787,0.0822582535253911,1,balanced,scale,sigmoid,"{'C': 1, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'sigmoid'}",0.6660602862209901,0.66141333191112,0.6695968441563935,0.6608067404747503,0.6644098625707356,0.664457413066798,0.003211823649563879,21
7,52.01907181739807,10.768844951867086,7.244372844696045,0.017273904563431128,0.1,balanced,auto,sigmoid,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'sigmoid'}",0.6665656225431495,0.6605041389840072,0.6689905794152906,0.6600994248039788,0.6640056588520615,0.6640330849196975,0.003432736284663992,22
15,133.2835473537445,181.97789165310704,188.62116570472716,363.2787731991641,0.5,balanced,auto,sigmoid,"{'C': 0.5, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'sigmoid'}",0.6650498177612129,0.6599987822433935,0.6670708567730381,0.6590891196918349,0.6624898949070331,0.6627396942753025,0.0029999110780973824,23
23,46.22193078994751,9.102942560777212,6.942183256149292,0.0215700152853446,1,balanced,auto,sigmoid,"{'C': 1, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'sigmoid'}",0.6650497973427587,0.6594935275950508,0.6663635819391749,0.6586849976469773,0.662287793047696,0.6623759395143315,0.002999664245719259,24
