,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_var_smoothing,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
59,0.02675018310546875,0.0002632493793660135,0.006332302093505859,7.906466238939397e-05,1.2045035402587836e-12,{'var_smoothing': 1.2045035402587836e-12},0.6988748798527784,0.6889865875535733,0.6896365151971731,0.6882698848800584,0.6907821556771478,0.6913100046321462,0.00387161784116236,5
58,0.026590585708618164,0.0005267186288141488,0.006188535690307617,0.00014662619334377183,1.9179102616724926e-12,{'var_smoothing': 1.9179102616724926e-12},0.6988748798527784,0.6889865875535733,0.6896365151971731,0.6882698848800584,0.6907821556771478,0.6913100046321462,0.00387161784116236,5
57,0.02718381881713867,0.00023079812016804275,0.0063174724578857425,0.00016095331552425516,3.0538555088334124e-12,{'var_smoothing': 3.0538555088334124e-12},0.6988748798527784,0.6889865875535733,0.6896365151971731,0.6882698848800584,0.6907821556771478,0.6913100046321462,0.00387161784116236,5
56,0.027020645141601563,0.00025750342979784246,0.0063803672790527345,0.00011262055849572462,4.8626015800653536e-12,{'var_smoothing': 4.8626015800653536e-12},0.6988748798527784,0.6889865875535733,0.6896365151971731,0.6882698848800584,0.6907821556771478,0.6913100046321462,0.00387161784116236,5
55,0.027204275131225586,0.00017032734089882936,0.00640711784362793,0.00013689990659824063,7.742636826811278e-12,{'var_smoothing': 7.742636826811278e-12},0.6988748798527784,0.6889865875535733,0.6896365151971731,0.6882698848800584,0.6907821556771478,0.6913100046321462,0.00387161784116236,5
54,0.02743988037109375,0.00031530477687377535,0.006491279602050782,0.00012080870553843933,1.2328467394420685e-11,{'var_smoothing': 1.2328467394420685e-11},0.6988748798527784,0.6889865875535733,0.6896365151971731,0.6882698848800584,0.6907821556771478,0.6913100046321462,0.00387161784116236,5
65,0.02656092643737793,0.00020776904144167562,0.006186199188232422,4.8961308756455984e-05,7.390722033525775e-14,{'var_smoothing': 7.390722033525775e-14},0.6988748798527784,0.6889865875535733,0.6896365151971731,0.6882698848800584,0.6907821556771478,0.6913100046321462,0.00387161784116236,5
75,0.026583766937255858,0.00012950765541654494,0.006221246719360351,4.109866077759902e-05,7.05480231071866e-16,{'var_smoothing': 7.05480231071866e-16},0.6988748798527784,0.6889865875535733,0.6896365151971731,0.6882698848800584,0.6907821556771478,0.6913100046321462,0.00387161784116236,5
77,0.026607227325439454,0.00039302176895306807,0.006290149688720703,6.633546994758861e-05,2.782559402207126e-16,{'var_smoothing': 2.782559402207126e-16},0.6988748798527784,0.6889865875535733,0.6896365151971731,0.6882698848800584,0.6907821556771478,0.6913100046321462,0.00387161784116236,5
53,0.027297353744506835,0.00015237358063692523,0.0063877105712890625,0.00010978309615836479,1.9630406500402685e-11,{'var_smoothing': 1.9630406500402685e-11},0.6988748798527784,0.6889865875535733,0.6896365151971731,0.6882698848800584,0.6907821556771478,0.6913100046321462,0.00387161784116236,5
