,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
505,2.394914388656616,0.021888383173109725,0.11829500198364258,0.0005975349608183403,False,balanced,entropy,50,log2,60,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 50, 'max_features': 'log2', 'n_estimators': 60}",0.729416176773502,0.7276982701322283,0.7303199588102608,0.7261770748783918,0.7292845594179467,0.728579208002466,0.0014679608846860884,170
588,3.5810173988342284,0.033102098178405835,0.17661237716674805,0.0010306098604146033,False,balanced,entropy,80,sqrt,90,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 80, 'max_features': 'sqrt', 'n_estimators': 90}",0.7315381033673625,0.7260814144206231,0.7331488335427178,0.7224385784312845,0.7296887631366209,0.7285791385797218,0.0038681767342799538,171
447,3.1718194007873537,0.021343450423372747,0.15748333930969238,0.0024440759026875033,False,balanced,entropy,30,log2,80,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 30, 'max_features': 'log2', 'n_estimators': 80}",0.7307299001145557,0.7272939847397375,0.7317343451303538,0.7289051232841761,0.724232012934519,0.7285790732406685,0.002654674794797702,172
637,3.189362907409668,0.02836442914853968,0.156148099899292,0.0018716256605153306,False,balanced,entropy,100,auto,80,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 100, 'max_features': 'auto', 'n_estimators': 80}",0.7308308693704075,0.7267888117652113,0.7328457828459829,0.7273894614314186,0.7250404203718674,0.7285790691569776,0.002843155753700228,173
715,2.392323398590088,0.013961715380140554,0.11649422645568848,0.0007669354397643442,False,balanced,entropy,,log2,60,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'max_features': 'log2', 'n_estimators': 60}",0.7316388276017644,0.7272940255766457,0.7301175915110195,0.7275918287306599,0.7262530315278901,0.728579060989596,0.0019882456834423765,174
299,3.619486618041992,0.021549922049553017,0.1950758457183838,0.0007905312760130778,False,balanced,gini,100,log2,100,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 100, 'max_features': 'log2', 'n_estimators': 100}",0.7288097895216741,0.7252733132600873,0.732138181316853,0.729511388025279,0.7271624898949071,0.7285790324037602,0.0023032346200180897,175
517,3.1846953868865966,0.027171985335021846,0.15719342231750488,0.0008991900116647423,False,balanced,entropy,60,auto,80,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 60, 'max_features': 'auto', 'n_estimators': 80}",0.7294164013764979,0.727294168505825,0.731734733080983,0.7274903694319079,0.7268593371059013,0.728559001900223,0.001813893143233418,176
436,2.7785487174987793,0.023161751647227044,0.13717660903930665,0.000618924613277902,False,balanced,entropy,30,sqrt,70,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 30, 'max_features': 'sqrt', 'n_estimators': 70}",0.7306284816527122,0.728608055194512,0.7316332942006853,0.728602154261258,0.723322554567502,0.728558907975334,0.002869099809028584,177
189,3.6195273876190184,0.025417574758735524,0.19402804374694824,0.001048190612567133,False,balanced,gini,70,auto,100,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 70, 'max_features': 'auto', 'n_estimators': 100}",0.7302243596078546,0.7262836387906852,0.7301175710925654,0.7283999298911958,0.7277687954729184,0.7285588589710439,0.001485231396220648,178
88,3.2547632217407227,0.023788871637086484,0.17435531616210936,0.0013310266887845844,False,balanced,gini,30,log2,90,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 30, 'max_features': 'log2', 'n_estimators': 90}",0.7296183398882017,0.7273953623646726,0.7314313352705274,0.7261770952968459,0.728071948261924,0.7285388162164343,0.0018240184174660259,179
329,3.6204992294311524,0.02639864787653482,0.19528117179870605,0.0005643076480202171,False,balanced,gini,110,log2,100,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 110, 'max_features': 'log2', 'n_estimators': 100}",0.7290120138917361,0.7270922095756669,0.7338560471212185,0.7258737587417528,0.7268593371059013,0.7285386732872553,0.0028464965354535357,180
199,3.63810453414917,0.03625021205673288,0.19475126266479492,0.002517154830510004,False,balanced,gini,70,sqrt,100,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 70, 'max_features': 'sqrt', 'n_estimators': 100}",0.7290118913810111,0.7266876995801803,0.7331487927058095,0.7271871553875398,0.7265561843168957,0.7285183446742872,0.002476208269519904,181
528,3.5789072513580322,0.02452368826475063,0.17672486305236818,0.0011509797045023953,False,balanced,entropy,60,sqrt,90,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 60, 'max_features': 'sqrt', 'n_estimators': 90}",0.7298203600737221,0.7277992598065344,0.7310268456934949,0.7268843701307091,0.72696038803557,0.7284982447480062,0.0016492414118475527,182
390,0.35274300575256345,0.0021056612682666355,0.017824268341064452,0.00011495263215435517,False,balanced,entropy,20,auto,10,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 20, 'max_features': 'auto', 'n_estimators': 10}",0.7260809243777231,0.7250696595982334,0.7315330191722751,0.7314324582855065,0.7283751010509296,0.7284982324969336,0.0026620767517505535,183
188,3.2626492500305178,0.0227188210157995,0.17449536323547363,0.0008655065544693556,False,balanced,gini,70,auto,90,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 70, 'max_features': 'auto', 'n_estimators': 90}",0.7286080960314203,0.7301232678412777,0.7317341409458122,0.7269851352020194,0.7250404203718674,0.7284982120784794,0.0023396513188998196,184
648,3.5721903800964356,0.02633107827300059,0.17479414939880372,0.00083461542681497,False,balanced,entropy,100,sqrt,90,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 100, 'max_features': 'sqrt', 'n_estimators': 90}",0.7307292263055682,0.7272940868320081,0.7316332942006853,0.7260759422749066,0.7267582861762328,0.7284981671578803,0.0022428024942093157,185
89,3.6228969573974608,0.03064740970772889,0.19405741691589357,0.0011024745109577845,False,balanced,gini,30,log2,100,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 30, 'max_features': 'log2', 'n_estimators': 100}",0.7288100345431241,0.725778710837609,0.7311284070845175,0.7291072659804214,0.7275666936135812,0.7284782224118507,0.0017690404964498716,186
476,2.78542742729187,0.01604312634779345,0.13785600662231445,0.0007990231367527319,False,balanced,entropy,40,log2,70,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 40, 'max_features': 'log2', 'n_estimators': 70}",0.7295171051924456,0.7266879241831761,0.7317342022011747,0.7277940122638136,0.7266572352465643,0.728478095817435,0.0019323554160962388,187
585,2.389783191680908,0.02394811421786686,0.11796159744262695,0.0005267608971824463,False,balanced,entropy,80,sqrt,60,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 80, 'max_features': 'sqrt', 'n_estimators': 60}",0.7328510099702494,0.7257783841423424,0.7317343042934455,0.7286021134243496,0.7234236054971706,0.7284778834655115,0.0035377102056206935,188
96,2.6273374557495117,0.0206106921535653,0.14100708961486816,0.0013706532334996752,False,balanced,gini,40,auto,70,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 40, 'max_features': 'auto', 'n_estimators': 70}",0.7301233290966402,0.7249701196341731,0.7315322228525626,0.7278948385904864,0.7277687954729184,0.7284578611293562,0.002244176024760315,189
555,2.393400239944458,0.021779964236858046,0.11804418563842774,0.0005623058471970721,False,balanced,entropy,70,sqrt,60,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 70, 'max_features': 'sqrt', 'n_estimators': 60}",0.7265866282320576,0.7283041469227021,0.7309260397852763,0.7285012666792227,0.7279708973322554,0.7284577957903029,0.0014039988782687427,190
209,3.6252174377441406,0.014934557218803336,0.1923842430114746,0.0006168780780263287,False,balanced,gini,70,log2,100,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 70, 'max_features': 'log2', 'n_estimators': 100}",0.7305276553260394,0.7251722419119644,0.7348662297226374,0.7251663613971646,0.7265561843168957,0.7284577345349403,0.003757575675661279,191
